ID;PMID;Title;Authors;Citation;First Author;Journal/Book;Publication Year;Create Date;PMCID;NIHMS ID;DOI
64;14746622;Validation of the Eczema Area and Severity Index for atopic dermatitis in a cohort of 1550 patients from the pimecrolimus cream 1% randomized controlled clinical trials programme;Barbier N, Paul C, Luger T, Allen R, De Prost Y, Papp K, Eichenfield LF, Cherill R, Hanifin J.;"Br J Dermatol. 2004 Jan;150(1):96-102. doi: 10.1111/j.1365-2133.2004.05696.x.";Barbier N;Br J Dermatol;2004;30/01/2004;NA;NA;10.1111/j.1365-2133.2004.05696.x
65;11168660;Clinical evaluation of a more rapid and sensitive Psoriasis Assessment Severity Score (PASS), and its comparison with the classic method of Psoriasis Area and Severity Index (PASI), before and after climatotherapy at the Dead-Sea;Harari M, Shani J, Hristakieva E, Stanimirovic A, Seidl W, Burdo A.;"Int J Dermatol. 2000 Dec;39(12):913-8. doi: 10.1046/j.1365-4362.2000.00017.x.";Harari M;Int J Dermatol;2000;13/02/2001;NA;NA;10.1046/j.1365-4362.2000.00017.x
66;20008472;Development and initial validation of the localized scleroderma skin damage index and physician global assessment of disease damage: a proof-of-concept study;Arkachaisri T, Vilaiyuk S, Torok KS, Medsger TA Jr.;"Rheumatology (Oxford). 2010 Feb;49(2):373-81. doi: 10.1093/rheumatology/kep361. Epub 2009 Dec 14.";Arkachaisri T;Rheumatology (Oxford);2010;17/12/2009;PMC3498950;NA;10.1093/rheumatology/kep361
67;22211581;Dramatic impact of a Psoriasis Area and Severity Index 90 response on the quality of life in patients with psoriasis: an analysis of Japanese clinical trials of infliximab;"Torii H, Sato N, Yoshinari T, Nakagawa H; Japanese Infliximab Study Investigators.";"J Dermatol. 2012 Mar;39(3):253-9. doi: 10.1111/j.1346-8138.2011.01459.x. Epub 2011 Dec 29.";Torii H;J Dermatol;2012;04/01/2012;NA;NA;10.1111/j.1346-8138.2011.01459.x
68;16965419;A study examining inter- and intrarater reliability of three scales for measuring severity of psoriasis: Psoriasis Area and Severity Index, Physician's Global Assessment and Lattice System Physician's Global Assessment;Berth-Jones J, Grotzinger K, Rainville C, Pham B, Huang J, Daly S, Herdman M, Firth P, Hotchkiss K.;"Br J Dermatol. 2006 Oct;155(4):707-13. doi: 10.1111/j.1365-2133.2006.07389.x.";Berth-Jones J;Br J Dermatol;2006;13/09/2006;NA;NA;10.1111/j.1365-2133.2006.07389.x
69;25917315;Comparison of three methods for measuring psoriasis severity in clinical studies (Part 1 of 2): change during therapy in Psoriasis Area and Severity Index, Static Physician's Global Assessment and Lattice System Physician's Global Assessment;Chow C, Simpson MJ, Luger TA, Chubb H, Ellis CN.;"J Eur Acad Dermatol Venereol. 2015 Jul;29(7):1406-14. doi: 10.1111/jdv.13132. Epub 2015 Apr 27.";Chow C;J Eur Acad Dermatol Venereol;2015;29/04/2015;NA;NA;10.1111/jdv.13132
70;25917214;Comparison of three methods for measuring psoriasis severity in clinical studies (Part 2 of 2): use of quality of life to assess construct validity of the Lattice System Physician's Global Assessment, Psoriasis Area and Severity Index and Static Physician's Global Assessment;Simpson MJ, Chow C, Morgenstern H, Luger TA, Ellis CN.;"J Eur Acad Dermatol Venereol. 2015 Jul;29(7):1415-20. doi: 10.1111/jdv.12861. Epub 2015 Apr 27.";Simpson MJ;J Eur Acad Dermatol Venereol;2015;29/04/2015;NA;NA;10.1111/jdv.12861
71;25598172;Evaluation of internal consistency of the epidermolysis bullosa oropharyngeal severity score (EBOS);Fortuna G, Aria M, Cepeda-Valdes R, Salas-Alanís JC.;"Acta Odontol Scand. 2015 Feb;73(2):156-60. doi: 10.3109/00016357.2014.931460. Epub 2015 Jan 19.";Fortuna G;Acta Odontol Scand;2015;20/01/2015;NA;NA;10.3109/00016357.2014.931460
72;27749240;Digital ulcers score: a scoring system to assess digital ulcers in patients suffering from systemic sclerosis;Ahrens HC, Siegert E, Tomsitz D, Mattat K, March C, Worm M, Riemekasten G.;"Clin Exp Rheumatol. 2016 Sep-Oct;34 Suppl 100(5):142-147. Epub 2016 Oct 13.";Ahrens HC;Clin Exp Rheumatol;2016;18/10/2016;NA;NA;NA
73;24698704;Scoring nail psoriasis;Klaassen KM, van de Kerkhof PC, Bastiaens MT, Plusjé LG, Baran RL, Pasch MC.;"J Am Acad Dermatol. 2014 Jun;70(6):1061-6. doi: 10.1016/j.jaad.2014.02.010. Epub 2014 Mar 31.";Klaassen KM;J Am Acad Dermatol;2014;05/04/2014;NA;NA;10.1016/j.jaad.2014.02.010
74;21410676;Scoring of hand eczema: good agreement between patients and dermatological staff;Carlsson A, Gånemo A, Anderson CD, Meding B, Stenberg B, Svensson A.;"Br J Dermatol. 2011 Jul;165(1):123-8. doi: 10.1111/j.1365-2133.2011.10312.x. Epub 2011 May 30.";Carlsson A;Br J Dermatol;2011;18/03/2011;NA;NA;10.1111/j.1365-2133.2011.10312.x
75;30442833;Preliminary Validation of the Digital Ulcer Clinical Assessment Score in Systemic Sclerosis;Bruni C, Ngcozana T, Braschi F, Pucci T, Piemonte G, Benelli L, Poli M, Suliman YA, Guiducci S, Bellando-Randone S, Balduzzi S, Grotts J, Denton CP, Rasero L, Montecucco C, Furst DE, Matucci-Cerinic M.;"J Rheumatol. 2019 Jun;46(6):603-608. doi: 10.3899/jrheum.171486. Epub 2018 Nov 15.";Bruni C;J Rheumatol;2019;17/11/2018;NA;NA;10.3899/jrheum.171486
76;29388188;The PARACELSUS score: a novel diagnostic tool for pyoderma gangrenosum;Jockenhöfer F, Wollina U, Salva KA, Benson S, Dissemond J.;"Br J Dermatol. 2019 Mar;180(3):615-620. doi: 10.1111/bjd.16401. Epub 2018 May 6.";Jockenhöfer F;Br J Dermatol;2019;02/02/2018;NA;NA;10.1111/bjd.16401
77;11338403;Comparison of three techniques for evaluating skin erythemal response for determination of sun protection factors of sunscreens: high resolution laser Doppler imaging, colorimetry and visual scoring;Wilhelm KP, Kaspar K, Funkel O.;"Photodermatol Photoimmunol Photomed. 2001 Apr;17(2):60-5. doi: 10.1034/j.1600-0781.2001.017002060.x.";Wilhelm KP;Photodermatol Photoimmunol Photomed;2001;08/05/2001;NA;NA;10.1034/j.1600-0781.2001.017002060.x
78;2390128;Skin score. A semiquantitative measure of cutaneous involvement that improves prediction of prognosis in systemic sclerosis;Clements PJ, Lachenbruch PA, Ng SC, Simmons M, Sterz M, Furst DE.;"Arthritis Rheum. 1990 Aug;33(8):1256-63. doi: 10.1002/art.1780330828.";Clements PJ;Arthritis Rheum;1990;01/08/1990;NA;NA;10.1002/art.1780330828
79;28947289;Development and validation of the Frontal Fibrosing Alopecia Severity Score;Saceda-Corralo D, Moreno-Arrones ÓM, Fonda-Pascual P, Pindado-Ortega C, Buendía-Castaño D, Alegre-Sánchez A, Segurado-Miravalles G, Rodrigues-Barata AR, Jaén-Olasolo P, Vaño-Galván S.;"J Am Acad Dermatol. 2018 Mar;78(3):522-529. doi: 10.1016/j.jaad.2017.09.034. Epub 2017 Sep 22.";Saceda-Corralo D;J Am Acad Dermatol;2018;27/09/2017;NA;NA;10.1016/j.jaad.2017.09.034
80;26611655;Usefulness of Rajka & Langeland Eczema Severity Score in Clinical Practice;Gånemo A, Svensson Å, Svedman C, Grönberg BM, Johansson AC, Wahlgren CF.;"Acta Derm Venereol. 2016 May;96(4):521-4. doi: 10.2340/00015555-2302.";Gånemo A;Acta Derm Venereol;2016;28/11/2015;NA;NA;10.2340/00015555-2302
81;22773386;Correlation between NIH composite skin score, patient-reported skin score, and outcome: results from the Chronic GVHD Consortium;Jacobsohn DA, Kurland BF, Pidala J, Inamoto Y, Chai X, Palmer JM, Arai S, Arora M, Jagasia M, Cutler C, Weisdorf D, Martin PJ, Pavletic SZ, Vogelsang G, Lee SJ, Flowers ME.;"Blood. 2012 Sep 27;120(13):2545-52; quiz 2774. doi: 10.1182/blood-2012-04-424135. Epub 2012 Jul 6.";Jacobsohn DA;Blood;2012;10/07/2012;PMC3460679;NA;10.1182/blood-2012-04-424135
82;17672874;Assessment of atopic eczema: clinical scoring and noninvasive measurements;Holm EA, Wulf HC, Thomassen L, Jemec GB.;"Br J Dermatol. 2007 Oct;157(4):674-80. doi: 10.1111/j.1365-2133.2007.08101.x. Epub 2007 Aug 2.";Holm EA;Br J Dermatol;2007;04/08/2007;NA;NA;10.1111/j.1365-2133.2007.08101.x
83;28809373;Scoring systems for Oral Lichen Planus used by differently experienced raters;Gobbo M, Rupel K, Zoi V, Perinetti G, Ottaviani G, Di Lenarda R, Bevilacqua L, Woo SB, Biasotto M.;"Med Oral Patol Oral Cir Bucal. 2017 Sep 1;22(5):e562-e571. doi: 10.4317/medoral.21833.";Gobbo M;Med Oral Patol Oral Cir Bucal;2017;16/08/2017;PMC5694178;NA;10.4317/medoral.21833
84;29180094;Validation study of the Vitiligo Extent Score-plus;van Geel N, Wolkerstorfer A, Lommerts JE, Ezzedine K, Eleftheriadou V, Hamzavi I, Harris J, Picardo M, Taieb A, Prinsen CAC, Bekkenk M, Speeckaert R.;"J Am Acad Dermatol. 2018 May;78(5):1013-1015. doi: 10.1016/j.jaad.2017.11.032. Epub 2017 Nov 24.";van Geel N;J Am Acad Dermatol;2018;29/11/2017;NA;NA;10.1016/j.jaad.2017.11.032
85;16626381;Validation of scalp coverage scoring methods for scalp hair loss in male pattern hair loss (androgenetic alopecia);Van Neste D, Sandraps E, Herbaut D, Lelubre P, Leroy T.;"Skin Res Technol. 2006 May;12(2):89-93. doi: 10.1111/j.0909-752X.2006.00201.x.";Van Neste D;Skin Res Technol;2006;22/04/2006;NA;NA;10.1111/j.0909-752X.2006.00201.x
86;29355894;How should minimally important change scores for the Patient-Oriented Eczema Measure be interpreted? A validation using varied methods;"Howells L, Ratib S, Chalmers JR, Bradshaw L, Thomas KS; CLOTHES trial team.";"Br J Dermatol. 2018 May;178(5):1135-1142. doi: 10.1111/bjd.16367. Epub 2018 Apr 17.";Howells L;Br J Dermatol;2018;23/01/2018;PMC6001667;NA;10.1111/bjd.16367
87;8308774;Skin thickness score in systemic sclerosis: an assessment of interobserver variability in 3 independent studies;Clements PJ, Lachenbruch PA, Seibold JR, Zee B, Steen VD, Brennan P, Silman AJ, Allegar N, Varga J, Massa M, et al.;"J Rheumatol. 1993 Nov;20(11):1892-6.";Clements PJ;J Rheumatol;1993;01/11/1993;NA;NA;NA
88;18928687;Severity scoring of atopic dermatitis: a comparison of two scoring systems;Rullo VE, Segato A, Kirsh A, Sole D.;"Allergol Immunopathol (Madr). 2008 Jul-Aug;36(4):205-11.";Rullo VE;Allergol Immunopathol (Madr);2008;22/10/2008;NA;NA;NA
89;19434791;The Birmingham Epidermolysis Bullosa Severity score: development and validation;Moss C, Wong A, Davies P.;"Br J Dermatol. 2009 May;160(5):1057-65. doi: 10.1111/j.1365-2133.2009.09041.x.";Moss C;Br J Dermatol;2009;13/05/2009;NA;NA;10.1111/j.1365-2133.2009.09041.x
90;2966711;Assessment of erythema in irritant contact dermatitis. Comparison between visual scoring and laser Doppler flowmetry;Willis CM, Stephens CJ, Wilkinson JD.;"Contact Dermatitis. 1988 Mar;18(3):138-42. doi: 10.1111/j.1600-0536.1988.tb04499.x.";Willis CM;Contact Dermatitis;1988;01/03/1988;NA;NA;10.1111/j.1600-0536.1988.tb04499.x
91;29306872;Patterns and predictors of skin score change in early diffuse systemic sclerosis from the European Scleroderma Observational Study;Herrick AL, Peytrignet S, Lunt M, Pan X, Hesselstrand R, Mouthon L, Silman AJ, Dinsdale G, Brown E, Czirják L, Distler JHW, Distler O, Fligelstone K, Gregory WJ, Ochiel R, Vonk MC, Ancuţa C, Ong VH, Farge D, Hudson M, Matucci-Cerinic M, Balbir-Gurman A, Midtvedt Ø, Jobanputra P, Jordan AC, Stevens W, Moinzadeh P, Hall FC, Agard C, Anderson ME, Diot E, Madhok R, Akil M, Buch MH, Chung L, Damjanov NS, Gunawardena H, Lanyon P, Ahmad Y, Chakravarty K, Jacobsen S, MacGregor AJ, McHugh N, Müller-Ladner U, Riemekasten G, Becker M, Roddy J, Carreira PE, Fauchais AL, Hachulla E, Hamilton J, İnanç M, McLaren JS, van Laar JM, Pathare S, Proudman SM, Rudin A, Sahhar J, Coppere B, Serratrice C, Sheeran T, Veale DJ, Grange C, Trad GS, Denton CP.;"Ann Rheum Dis. 2018 Apr;77(4):563-570. doi: 10.1136/annrheumdis-2017-211912. Epub 2018 Jan 6.";Herrick AL;Ann Rheum Dis;2018;08/01/2018;PMC5890636;NA;10.1136/annrheumdis-2017-211912
92;22575158;Epidermolysis Bullosa Oropharyngeal Severity (EBOS) score: a multicenter development and reliability assessment;Fortuna G, Chainani-Wu N, Lozada-Nur F, Aria M, Cepeda-Valdes R, Pollio A, Marinkovich MP, Martinez-Salazar AE, Mignogna MD, Bruckner AL, Salas-Alanís JC.;"J Am Acad Dermatol. 2013 Jan;68(1):83-92. doi: 10.1016/j.jaad.2012.04.009. Epub 2012 May 8.";Fortuna G;J Am Acad Dermatol;2013;12/05/2012;NA;NA;10.1016/j.jaad.2012.04.009
93;30176092;Comparison of clinical and ultrasound scores in patients with hidradenitis suppurativa: results from an Italian ultrasound working group;Napolitano M, Calzavara-Pinton PG, Zanca A, Bianchi L, Caposiena Caro RD, Offidani AM, Ganzetti G, Molinelli E, Dini V, Oranges T, Romanelli M, Egan CG, Fabbrocini G, Monfrecola G, Lacarrubba F, Musumeci ML, Passoni E, Venturini M, Micali G.;"J Eur Acad Dermatol Venereol. 2019 Feb;33(2):e84-e87. doi: 10.1111/jdv.15235. Epub 2018 Sep 25.";Napolitano M;J Eur Acad Dermatol Venereol;2019;04/09/2018;NA;NA;10.1111/jdv.15235
94;7562757;Variability of skin scores and clinical measurements in scleroderma;Pope JE, Baron M, Bellamy N, Campbell J, Carette S, Chalmers I, Dales P, Hanly J, Kaminska EA, Lee P, et al.;"J Rheumatol. 1995 Jul;22(7):1271-6.";Pope JE;J Rheumatol;1995;01/07/1995;NA;NA;NA
95;21038781;Evaluation of patient's subjective severity using various scoring system in Korean children with atopic dermatitis;Yang HJ, Jeon YH, Pyun BY.;"Asian Pac J Allergy Immunol. 2010 Jun-Sep;28(2-3):130-5.";Yang HJ;Asian Pac J Allergy Immunol;2010;03/11/2010;NA;NA;NA
96;30690571;Development and validation of a composite disease activity score for measurement of muscle and skin involvement in juvenile dermatomyositis;Rosina S, Consolaro A, van Dijkhuizen P, Pistorio A, Varnier GC, Bovis F, Nistala K, Maillard S, Civino A, Tsitsami E, de Inocencio J, Jelusic M, Vojinovic J, Espada G, Makay B, Katsicas MM, Pratsidou-Gertsi P, Lazarevic D, Rao AP, Pires Marafon D, Martini A, Pilkington C, Ruperto N, Ravelli A.;"Rheumatology (Oxford). 2019 Jul 1;58(7):1196-1205. doi: 10.1093/rheumatology/key421.";Rosina S;Rheumatology (Oxford);2019;29/01/2019;NA;NA;10.1093/rheumatology/key421
97;27244117;The Reliability, Validity and Responsiveness of Two Disease Scores (BPDAI and ABSIS) for Bullous Pemphigoid: Which One to Use?;Wijayanti A, Zhao CY, Boettiger D, Chiang YZ, Ishii N, Hashimoto T, Murrell DF.;"Acta Derm Venereol. 2017 Jan 4;97(1):24-31. doi: 10.2340/00015555-2473.";Wijayanti A;Acta Derm Venereol;2017;01/06/2016;NA;NA;10.2340/00015555-2473
98;27358037;Interobserver Reliability of Three Validated Scoring Systems in the Assessment of Diabetic Foot Ulcers;Forsythe RO, Ozdemir BA, Chemla ES, Jones KG, Hinchliffe RJ.;"Int J Low Extrem Wounds. 2016 Sep;15(3):213-9. doi: 10.1177/1534734616654567. Epub 2016 Jun 29.";Forsythe RO;Int J Low Extrem Wounds;2016;01/07/2016;NA;NA;10.1177/1534734616654567
99;28370513;High-dose intravenous immunoglobulin therapy for scleromyxoedema: a prospective open-label clinical trial using an objective score of clinical evaluation system;Guarneri A, Cioni M, Rongioletti F.;"J Eur Acad Dermatol Venereol. 2017 Jul;31(7):1157-1160. doi: 10.1111/jdv.14244. Epub 2017 Apr 12.";Guarneri A;J Eur Acad Dermatol Venereol;2017;04/04/2017;NA;NA;10.1111/jdv.14244
100;29297927;An Oral Disease Severity Score validated for use in oral pemphigus vulgaris;Ormond M, McParland H, Donaldson ANA, Andiappan M, Cook RJ, Escudier M, Hullah E, Higham J, McMillan R, Taylor J, Shirlaw PJ, Challacombe SJ, Setterfield JF.;"Br J Dermatol. 2018 Oct;179(4):872-881. doi: 10.1111/bjd.16265. Epub 2018 Apr 28.";Ormond M;Br J Dermatol;2018;04/01/2018;NA;NA;10.1111/bjd.16265
101;19605370;Sensitivity to change of the modified Rodnan skin score in diffuse systemic sclerosis--assessment of individual body sites in two large randomized controlled trials;"Kaldas M, Khanna PP, Furst DE, Clements PJ, Kee Wong W, Seibold JR, Postlethwaite AE, Khanna D; investigators of the human recombinant relaxin and oral bovine collagen clinical trials.";"Rheumatology (Oxford). 2009 Sep;48(9):1143-6. doi: 10.1093/rheumatology/kep202. Epub 2009 Jul 14.";Kaldas M;Rheumatology (Oxford);2009;17/07/2009;PMC2734267;NA;10.1093/rheumatology/kep202
102;17199681;Wound bed score and its correlation with healing of chronic wounds;Falanga V, Saap LJ, Ozonoff A.;"Dermatol Ther. 2006 Nov-Dec;19(6):383-90. doi: 10.1111/j.1529-8019.2006.00096.x.";Falanga V;Dermatol Ther;2006;04/01/2007;NA;NA;10.1111/j.1529-8019.2006.00096.x
103;17941937;Evaluation of the Cutaneous Lupus Activity and Severity Score in the assessment of lupus erythematosus skin disease;Abdel-Aziz K, Goodfield M.;"Br J Dermatol. 2008 Jan;158(1):181-2. doi: 10.1111/j.1365-2133.2007.08260.x. Epub 2007 Oct 17.";Abdel-Aziz K;Br J Dermatol;2008;19/10/2007;NA;NA;10.1111/j.1365-2133.2007.08260.x
104;16181458;The objective severity assessment of atopic dermatitis (OSAAD) score: validity, reliability and sensitivity in adult patients with atopic dermatitis;Angelova-Fischer I, Bauer A, Hipler UC, Petrov I, Kazandjieva J, Bruckner T, Diepgen T, Tsankov N, Williams M, Fischer TW, Elsner P, Fluhr JW.;"Br J Dermatol. 2005 Oct;153(4):767-73. doi: 10.1111/j.1365-2133.2005.06697.x.";Angelova-Fischer I;Br J Dermatol;2005;27/09/2005;NA;NA;10.1111/j.1365-2133.2005.06697.x
105;25556325;The Atopic Dermatitis Antecubital Severity score: validity, reliability, and sensitivity to change in patients with atopic dermatitis;Baek JH, Park CW, Choi KM, Yang YS, Lee SY, Koh JS, Chung BY, Kim HO, Park GH.;"Int J Dermatol. 2015 Dec;54(12):1382-9. doi: 10.1111/ijd.12711. Epub 2014 Dec 29.";Baek JH;Int J Dermatol;2015;06/01/2015;NA;NA;10.1111/ijd.12711
106;29307645;The Vitiligo Extent Score (VES) and the VESplus are responsive instruments to assess global and regional treatment response in patients with vitiligo;van Geel N, Bekkenk M, Lommerts JE, Ezzedine K, Harris J, Hamzavi I, Eleftheriadou V, Picardo M, Taieb A, Prinsen CAC, Wolkerstorfer A, Speeckaert R.;"J Am Acad Dermatol. 2018 Aug;79(2):369-371. doi: 10.1016/j.jaad.2017.12.070. Epub 2018 Jan 4.";van Geel N;J Am Acad Dermatol;2018;09/01/2018;NA;NA;10.1016/j.jaad.2017.12.070
107;18002738;Area assessment of psoriasis lesion for PASI scoring;Ihtatho D, Fadzil MH, Affandi AM, Hussein SH.;"Annu Int Conf IEEE Eng Med Biol Soc. 2007;2007:3446-9. doi: 10.1109/IEMBS.2007.4353072.";Ihtatho D;Annu Int Conf IEEE Eng Med Biol Soc;2007;16/11/2007;NA;NA;10.1109/IEMBS.2007.4353072
108;9458208;The modified Rodnan skin score is an accurate reflection of skin biopsy thickness in systemic sclerosis;Furst DE, Clements PJ, Steen VD, Medsger TA Jr, Masi AT, D'Angelo WA, Lachenbruch PA, Grau RG, Seibold JR.;"J Rheumatol. 1998 Jan;25(1):84-8.";Furst DE;J Rheumatol;1998;11/02/1998;NA;NA;NA
109;26616440;Assessing new terminal body and facial hair growth during pregnancy: toward developing a simplified visual scoring system for hirsutism;Yang Y, Han Y, Wang W, Du T, Li Y, Zhang J, Yang D, Zhao X.;"Fertil Steril. 2016 Feb;105(2):494-500. doi: 10.1016/j.fertnstert.2015.10.036. Epub 2015 Nov 23.";Yang Y;Fertil Steril;2016;01/12/2015;NA;NA;10.1016/j.fertnstert.2015.10.036
110;34755891;PASI vs PO-PASI: Patient-Oriented PASI (PO-PASI) is comparable to clinician score PASI;Montes de Oca Pedrosa A, Oakley A, Rogers J, Rangaitaha Epiha M.;"Australas J Dermatol. 2022 Feb;63(1):e67-e70. doi: 10.1111/ajd.13738. Epub 2021 Nov 10.";Montes de Oca Pedrosa A;Australas J Dermatol;2022;10/11/2021;NA;NA;10.1111/ajd.13738
111;33288650;Independent Observational Analysis of Ulcer Outcomes for SINBAD and University of Texas Ulcer Scoring Systems;Leese GP, Soto-Pedre E, Schofield C.;"Diabetes Care. 2021 Feb;44(2):326-331. doi: 10.2337/dc20-1817. Epub 2020 Dec 7.";Leese GP;Diabetes Care;2021;08/12/2020;NA;NA;10.2337/dc20-1817
112;30298709;Comparison of clinical and sonographic scores in hidradenitis suppurativa and proposal of a novel ultrasound scoring system;Nazzaro G, Passoni E, Muratori S, Moltrasio C, Guanziroli E, Barbareschi M, Veraldi S, Marzano AV.;"Ital J Dermatol Venerol. 2021 Apr;156(2):235-239. doi: 10.23736/S2784-8671.18.06196-5. Epub 2018 Oct 4.";Nazzaro G;Ital J Dermatol Venerol;2021;10/10/2018;NA;NA;10.23736/S2784-8671.18.06196-5
113;25493680;Cross-cultural adaptation and clinical validation of the Neonatal Skin Condition Score to Brazilian Portuguese;Schardosim JM, Ruschel LM, da Motta Gde C, da Cunha ML.;"Rev Lat Am Enfermagem. 2014 Oct;22(5):834-41. doi: 10.1590/0104-1169.3456.2487.";Schardosim JM;Rev Lat Am Enfermagem;2014;11/12/2014;PMC4292664;NA;10.1590/0104-1169.3456.2487
114;31587383;Validation of the Patient-Oriented SCORing for Atopic Dermatitis tool for black skin;Faye O, Meledie N'Djong AP, Diadie S, Coniquet S, Niamba PA, Atadokpede F, Yao Yoboue P, Thierno Dieng M, Zkik A, Castagne C, Zumaglini F, Delarue A.;"J Eur Acad Dermatol Venereol. 2020 Apr;34(4):795-799. doi: 10.1111/jdv.15999. Epub 2019 Nov 7.";Faye O;J Eur Acad Dermatol Venereol;2020;07/10/2019;PMC7154547;NA;10.1111/jdv.15999
115;29417136;A Novel Severity Assessment Scoring System for Hidradenitis Suppurativa;Hessam S, Scholl L, Sand M, Schmitz L, Reitenbach S, Bechara FG.;"JAMA Dermatol. 2018 Mar 1;154(3):330-335. doi: 10.1001/jamadermatol.2017.5890.";Hessam S;JAMA Dermatol;2018;09/02/2018;PMC5885841;NA;10.1001/jamadermatol.2017.5890
116;26817178;Inter- and Intra-Observer Reliability of Modified Rodnan Skin Score Assessment in Thai Systemic Sclerosis Patients: A Validation for Multicenter Scleroderma Cohort Study;Foocharoen C, Thinkhamrop B, Mahakkanukrauh A, Suwannaroj S, Netwijitpan S, Sripavatakul K, Chuealee W, Boottam B, Towiwat P, Seubmee P, Daungkum K, Kongpan D, Mangkala J, Nanagara R.;"J Med Assoc Thai. 2015 Nov;98(11):1082-8.";Foocharoen C;J Med Assoc Thai;2015;29/01/2016;NA;NA;NA
117;22913528;Validation of a clinical evaluation score for irritative dermatitis: SCOREPI;Le Maître M, Crickx B, Lacour JP, Bagot M, Chevallier JM, Cribier B, Doutre MS, Giordano-Labadie F, Guillot B, Joly P, Schmutz JL, Vabres P, Bensimon D.;"J Eur Acad Dermatol Venereol. 2013 Sep;27(9):1138-42. doi: 10.1111/j.1468-3083.2012.04678.x. Epub 2012 Aug 22.";Le Maître M;J Eur Acad Dermatol Venereol;2013;24/08/2012;NA;NA;10.1111/j.1468-3083.2012.04678.x
118;28636793;Development and validation of the International Hidradenitis Suppurativa Severity Score System (IHS4), a novel dynamic scoring system to assess HS severity;"Zouboulis CC, Tzellos T, Kyrgidis A, Jemec GBE, Bechara FG, Giamarellos-Bourboulis EJ, Ingram JR, Kanni T, Karagiannidis I, Martorell A, Matusiak Ł, Pinter A, Prens EP, Presser D, Schneider-Burrus S, von Stebut E, Szepietowski JC, van der Zee HH, Wilden SM, Sabat R; European Hidradenitis Suppurativa Foundation Investigator Group.";"Br J Dermatol. 2017 Nov;177(5):1401-1409. doi: 10.1111/bjd.15748. Epub 2017 Oct 30.";Zouboulis CC;Br J Dermatol;2017;22/06/2017;NA;NA;10.1111/bjd.15748
119;9366834;Reliability of two methods to assess morphea: skin scoring and the use of a durometer;Seyger MM, van den Hoogen FH, de Boo T, de Jong EM.;"J Am Acad Dermatol. 1997 Nov;37(5 Pt 1):793-6. doi: 10.1016/s0190-9622(97)70121-x.";Seyger MM;J Am Acad Dermatol;1997;21/11/1997;NA;NA;10.1016/s0190-9622(97)70121-x
120;18608708;Validation of clinical and image skin scoring systems for a single chronic discoid lupus erythematosus lesion;Erceg A, De Jong EM, Van Lingen RG, De Boo TM, Van De Kerkhof PC, Seyger MM.;"J Dermatolog Treat. 2009;20(1):32-5. doi: 10.1080/09546630802155040.";Erceg A;J Dermatolog Treat;2009;09/07/2008;NA;NA;10.1080/09546630802155040
121;29341069;Reliability and validity of the instrument for scoring clinical outcomes of research for epidermolysis bullosa (iscorEB);Bruckner AL, Fairclough DL, Feinstein JA, Lara-Corrales I, Lucky AW, Tolar J, Pope E.;"Br J Dermatol. 2018 May;178(5):1128-1134. doi: 10.1111/bjd.16350. Epub 2018 Apr 2.";Bruckner AL;Br J Dermatol;2018;18/01/2018;PMC6478606;NIHMS1014728;10.1111/bjd.16350
122;17107392;Assessment of severity of hand eczema: discrepancies between patient- and physician-rated scores;van Coevorden AM, van Sonderen E, Bouma J, Coenraads PJ.;"Br J Dermatol. 2006 Dec;155(6):1217-22. doi: 10.1111/j.1365-2133.2006.07531.x.";van Coevorden AM;Br J Dermatol;2006;17/11/2006;NA;NA;10.1111/j.1365-2133.2006.07531.x
123;25868111;"The validity, reliability and acceptability of the SAVASI; a new self-assessment score in vitiligo";Komen L, van der Kraaij GE, van der Veen JP, de Rie MA, Wolkerstorfer A.;"J Eur Acad Dermatol Venereol. 2015 Nov;29(11):2145-51. doi: 10.1111/jdv.13161. Epub 2015 Apr 13.";Komen L;J Eur Acad Dermatol Venereol;2015;14/04/2015;NA;NA;10.1111/jdv.13161
124;26183969;Scoring the therapeutic effects of oral propranolol for infantile hemangioma: A prospective study comparing the Hemangioma Activity Score (HAS) with the Hemangioma Severity Scale (HSS);Janmohamed SR, van Oosterhout M, de Laat PC, van Rosmalen J, Madern GC, Oranje AP.;"J Am Acad Dermatol. 2015 Aug;73(2):258-63. doi: 10.1016/j.jaad.2015.05.012.";Janmohamed SR;J Am Acad Dermatol;2015;18/07/2015;NA;NA;10.1016/j.jaad.2015.05.012
125;22759453;Clinical scoring system for vulvar lichen sclerosus;Günthert AR, Duclos K, Jahns BG, Krause E, Amann E, Limacher A, Mueller MD, Jüni P.;"J Sex Med. 2012 Sep;9(9):2342-50. doi: 10.1111/j.1743-6109.2012.02814.x. Epub 2012 Jul 3.";Günthert AR;J Sex Med;2012;05/07/2012;NA;NA;10.1111/j.1743-6109.2012.02814.x
126;27887798;Development and validation of a patient-reported outcome measure in vitiligo: The Self Assessment Vitiligo Extent Score (SA-VES);"van Geel N, Lommerts JE, Bekkenk MW, Prinsen CA, Eleftheriadou V, Taieb A, Picardo M, Ezzedine K, Wolkerstorfer A, Speeckaert R; international Vitiligo Score Working Group.";"J Am Acad Dermatol. 2017 Mar;76(3):464-471. doi: 10.1016/j.jaad.2016.09.034. Epub 2016 Nov 22.";van Geel N;J Am Acad Dermatol;2017;27/11/2016;NA;NA;10.1016/j.jaad.2016.09.034
